2025-11-14 05:49:01,772 - INFO - [spelling] Segment 36 (2-filtered-classes): total = 24, inaccuracies = 0 (0.00%)
2025-11-14 05:49:02,249 - INFO - [spelling] Segment 37 (2-filtered-classes): total = 19, inaccuracies = 2 (10.53%)
2025-11-14 05:49:09,754 - INFO - [spelling] Segment 38 (2-filtered-classes): total = 14, inaccuracies = 3 (21.43%)
2025-11-14 05:49:28,362 - INFO - [spelling] Segment 39 (2-filtered-classes): total = 195, inaccuracies = 1 (0.51%)
2025-11-14 05:49:28,368 - INFO - [spelling] Segment 40 (2-filtered-classes): total = 15, inaccuracies = 0 (0.00%)
2025-11-14 05:49:28,371 - INFO - [spelling] Segment 41 (2-filtered-classes): total = 6, inaccuracies = 0 (0.00%)
2025-11-14 05:49:32,643 - INFO - [spelling] Segment 42 (2-filtered-classes): total = 7, inaccuracies = 0 (0.00%)
2025-11-14 05:49:47,450 - INFO - [spelling] Segment 43 (2-filtered-classes): total = 103, inaccuracies = 4 (3.88%)
2025-11-14 05:49:47,478 - INFO - [spelling] Segment 44 (2-filtered-classes): total = 356, inaccuracies = 0 (0.00%)
2025-11-14 05:49:58,355 - INFO - [spelling] Segment 45 (2-filtered-classes): total = 32, inaccuracies = 2 (6.25%)
2025-11-14 05:50:47,449 - INFO - [spelling] Segment 46 (2-filtered-classes): total = 145, inaccuracies = 1 (0.69%)
2025-11-14 05:51:04,841 - INFO - [spelling] Segment 47 (2-filtered-classes): total = 217, inaccuracies = 5 (2.30%)
2025-11-14 05:51:44,226 - INFO - [spelling] Segment 48 (2-filtered-classes): total = 615, inaccuracies = 4 (0.65%)
2025-11-14 05:52:05,002 - INFO - [spelling] Segment 49 (2-filtered-classes): total = 155, inaccuracies = 2 (1.29%)
2025-11-14 05:53:13,882 - INFO - [spelling] Segment 50 (2-filtered-classes): total = 750, inaccuracies = 56 (7.47%)
2025-11-14 05:53:23,563 - INFO - [spelling] Segment 51 (2-filtered-classes): total = 462, inaccuracies = 16 (3.46%)
2025-11-14 05:53:23,566 - INFO - [spelling] Segment 90 (2-filtered-classes): total = 1, inaccuracies = 0 (0.00%)
2025-11-14 05:53:25,174 - INFO - [spelling] Segment combined (2-filtered-classes): total = 10989, inaccuracies = 441 (4.01%)
2025-11-14 05:53:25,178 - INFO - [duplicate-definition] Segment 13 (3-normalised-classes): total = 223, inaccuracies = 216 (96.86%)
2025-11-14 05:53:25,181 - INFO - [duplicate-definition] Segment 14 (3-normalised-classes): total = 53, inaccuracies = 2 (3.77%)
2025-11-14 05:53:25,185 - INFO - [duplicate-definition] Segment 15 (3-normalised-classes): total = 740, inaccuracies = 720 (97.30%)
2025-11-14 05:53:25,188 - INFO - [duplicate-definition] Segment 16 (3-normalised-classes): total = 113, inaccuracies = 0 (0.00%)
2025-11-14 05:53:25,190 - INFO - [duplicate-definition] Segment 17 (3-normalised-classes): total = 9, inaccuracies = 2 (22.22%)
2025-11-14 05:53:25,192 - INFO - [duplicate-definition] Segment 18 (3-normalised-classes): total = 7, inaccuracies = 0 (0.00%)
2025-11-14 05:53:25,195 - INFO - [duplicate-definition] Segment 19 (3-normalised-classes): total = 201, inaccuracies = 44 (21.89%)
2025-11-14 05:53:25,197 - INFO - [duplicate-definition] Segment 20 (3-normalised-classes): total = 11, inaccuracies = 0 (0.00%)
2025-11-14 05:53:25,200 - INFO - [duplicate-definition] Segment 21 (3-normalised-classes): total = 118, inaccuracies = 6 (5.08%)
2025-11-14 05:53:25,205 - INFO - [duplicate-definition] Segment 22 (3-normalised-classes): total = 539, inaccuracies = 6 (1.11%)
2025-11-14 05:53:25,209 - INFO - [duplicate-definition] Segment 23 (3-normalised-classes): total = 345, inaccuracies = 7 (2.03%)
